moviechrono_id;"movie,""chapter"",""character"",""dialog""";
181;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Ron Weasley"",""I say we jump!""";
182;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Hermione Granger"",""When?""";
183;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Voldemort"",""The boy has discovered our secret, Nagini. We must find out just how much he knows. We must return to our hiding places and see if the others are safe.""";
184;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Harry Potter"",""He knows.""";
185;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Hermione Granger"",""How is it you --""";
186;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Harry Potter"",""I saw him.""";
187;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Hermione Granger"",""You let him in! Harry, you can't --""";
188;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Harry Potter"",""I can't always help it, Hermione!""";
189;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Ron Weasley"",""Never mind! What did you see?""";
190;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Harry Potter"",""He's angry. But he's scared too. He's going to make sure the other Horcruxes are safe.""";
191;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Ron Weasley"",""What happens when he finds out four are gone?""";
192;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Harry Potter"",""I reckon he'll do anything to stop us from finding the rest. There's more: one of them's at Hogwarts.""";
193;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Hermione Granger"",""What?""";
194;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Ron Weasley"",""What?""";
195;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Hermione Granger"",""You saw it?""";
196;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Hermione Granger"",""Tonight? But we have to plan. We have to figure out what --""";
197;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Harry Potter"",""Honestly, Hermione, when have any of our plans actually worked? We plan, we get there and all hell breaks loose.""";
198;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Ron Weasley"",""'Fraid he's right. One problem: Snape's Headmaster now. We can't just walk in the front door.""";
199;"Harry Potter and the Deathly Hallows Part 2,""Final Hiding Place"",""Harry Potter"",""We'll go to Hogsmeade. To Honeydukes. Take the secret passage in the cellar.""";
200;"Harry Potter and the Deathly Hallows Part 2,""Final Hiding Place"",""Harry Potter"",""There's something wrong with him. In the past, I could always follow his thoughts. Now everything feels disconnected.""";
201;"Harry Potter and the Deathly Hallows Part 2,""Final Hiding Place"",""Ron Weasley"",""Maybe it's because of the Horcruxes. Maybe he's growing weaker. Maybe he's dying.""";
202;"Harry Potter and the Deathly Hallows Part 2,""Final Hiding Place"",""Harry Potter"",""No. It's more like he's wounded. If anything, he feels more""";
203;"Harry Potter and the Deathly Hallows Part 2,""Final Hiding Place"",""Hermione Granger"",""They were ready for us.""";
204;"Harry Potter and the Deathly Hallows Part 2,""Final Hiding Place"",""Death Eater"",""We know you're here, Potter. There's no getting away.""";
205;"Harry Potter and the Deathly Hallows Part 2,""Final Hiding Place"",""Death Eater"",""Perhaps you need some convincing.""";
206;"Harry Potter and the Deathly Hallows Part 2,""Final Hiding Place"",""Ron Weasley"",""What's he mean by that?""";
207;"Harry Potter and the Deathly Hallows Part 2,""Final Hiding Place"",""Hermione Granger"",""No, you'll give us away.""";
208;"Harry Potter and the Deathly Hallows Part 2,""Final Hiding Place"",""Harry Potter"",""Expecto Patronum!""";
209;"Harry Potter and the Deathly Hallows Part 2,""Aberforth Dumbledore"",""Aberforth Dumbledore"",""In here, Potter.""";
210;"Harry Potter and the Deathly Hallows Part 2,""Aberforth Dumbledore"",""Ron Weasley"",""Did you get a look at him! Fora second I thought it was --""";
211;"Harry Potter and the Deathly Hallows Part 2,""Aberforth Dumbledore"",""Hermione Granger"",""I know.""";
212;"Harry Potter and the Deathly Hallows Part 2,""Aberforth Dumbledore"",""Hermione Granger"",""Harry! I can see you! In here!""";
213;"Harry Potter and the Deathly Hallows Part 2,""Aberforth Dumbledore"",""Aberforth Dumbledore"",""You bloody fools! What were you thinking coming here? Do you have any idea how dangerous it is --""";
214;"Harry Potter and the Deathly Hallows Part 2,""Aberforth Dumbledore"",""Harry Potter"",""You're Aberforth.""";
215;"Harry Potter and the Deathly Hallows Part 2,""Aberforth Dumbledore"",""Harry Potter"",""Dumbledore's brother. It's you I've been seeing -- here. It's""";
216;"Harry Potter and the Deathly Hallows Part 2,""Aberforth Dumbledore"",""Aberforth Dumbledore"",""Where've you left him?""";
217;"Harry Potter and the Deathly Hallows Part 2,""Aberforth Dumbledore"",""Harry Potter"",""He's dead.""";
218;"Harry Potter and the Deathly Hallows Part 2,""Aberforth Dumbledore"",""Aberforth Dumbledore"",""Sorry to hear it. I liked that elf.""";
219;"Harry Potter and the Deathly Hallows Part 2,""Aberforth Dumbledore"",""Aberforth Dumbledore"",""Mundungus Fletcher, 'bout a year ago.""";
220;"Harry Potter and the Deathly Hallows Part 2,""Aberforth Dumbledore"",""Harry Potter"",""Dung had no right selling you that. It belonged to --""";
