moviechrono_id;"movie,""chapter"",""character"",""dialog""";;;
133;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""Okay.""";;;
134;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""I'm not really hungry. I think I'll go to bed.""";;;
135;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""You surprise me, Harry. I figured the first thing you'd do is start asking about Voldemort.""";;;
136;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""I wanted to, but I didn't think you'd tell me anything.""";;;
137;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Molly Weasley"",""And that was quite right, Harry! You're much to young--""";;;
138;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""He has a right to know, Molly.""";;;
139;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Molly Weasley"",""It's not your decision!""";;;
140;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""I know what Dumbledore said, but he needs to know something.""";;;
141;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""He's not a child, Molly.""";;;
142;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Molly Weasley"",""He's not an adult either!""";;;
143;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Molly Weasley"",""I only have Harry's best interests at heart.""";;;
144;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""He's not your son.""";;;
145;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Molly Weasley"",""Who else does he have, then?""";;;
146;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""He's got me. He's like a son to me.""";;;
147;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""What do you want to know, Harry?""";;;
148;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""Where's Voldemort? What's he doing?""";;;
149;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""He's hiding for the moment, because the Ministry is ignoring his return and he doesn't want that to change.""";;;
150;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""How?""";;;
151;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""The last person You-Know-Who wanted to alert was Dumbledore.""";;;
152;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""And what's his plan?""";;;
153;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""He's building up his army again, just like before.""";;;
154;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""And you're stopping him from gaining followers?""";;;
155;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Remus Lupin"",""We're doing our best, but it's proving to be...difficult.""";;;
156;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""You see, when the Ministry of Magic insists that Voldemort isn't back.""";;;
157;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""But...why?""";;;
158;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Remus Lupin"",""Fudge likes being Minister of Magic. If it turns out that Voldemort came back under his watch, he'll be sacked.""";;;
159;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""But you're telling people, right?""";;;
160;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""Well, they think I'm a mass- murderer, Lupin is a werewolf, Tonks and Arthur would lose their jobs at the Ministry...""";;;
161;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Remus Lupin"",""But Dumbledore is doing all he can.""";;;
162;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Arthur Weasley"",""If he keeps it up, he might end up in Azkaban. And that would give You- Know-Who a clear field to--""";;;
163;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""What?""";;;
164;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""You-Know-Who wants something. Something he didn't have last time. A weapon.""";;;
165;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""What kind of weapon?""";;;
166;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Remus Lupin"",""I'm sorry, Harry, we can't say anything more.""";;;
167;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Molly Weasley"",""Morning, dear! Did you have a good sleep?""";;;
168;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""No, my scar kept hurting.""";;;
169;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""Yeah...nerves...""";;;
170;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Molly Weasley"",""Good luck, Harry!""";;;
171;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Hermione Granger"",""They'll have to let you off, Harry... You were defending""";;;
172;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""Thanks, Hermione.""";;;
173;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Ron Weasley"",""What does he get a hug for?""";;;
174;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Ron Weasley"",""Oh, sure, that's why.""";;;
175;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Ron Weasley"",""Me? Jealous? Of course not, it just doesn't seem fair that you hug one friend more than the other, is all...""";;;
176;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Hermione Granger"",""Would you like a hug?""";;;
177;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""Well, come on, Harry. Time to go.""";;;
178;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Harry Potter"",""Bye.""";;;
