moviechrono_id;"movie,""chapter"",""character"",""dialog"""
142;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""These are adorable."""
143;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""Aren't they now.  Pygmy Puffs. Can't breed them fast enough."""
144;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""How much for this?"""
145;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""Five Galleons."""
146;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""George Weasley"",""Five Galleons."""
147;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""How much for me?"""
148;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""Five Galleons."""
149;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""George Weasley"",""Five Galleons."""
150;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""But I'm your brother!"""
151;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""Ten Galleons."""
152;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""C'mon. Let's go."""
153;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Lavender Brown"",""Hi, Ron."""
154;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""Hi."""
155;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""How is it Fred and George are doing it?  Half the alley's closed down."""
156;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""Fred reckons people need a laugh these days."""
157;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""Reckon he's right..."""
158;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""Oh no.  Look."""
159;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""But everyone got their wands from Ollivander.  Young.  Old..."""
